PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,Balls,Strikes,PitchCall,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,AutoPitchType,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2025-10-31,18:33:03,"Walsh, Alex",703633,Left,JUD,Undefined,0,0,InPlay,Fastball,NA,NA,89.86418,-1.423304,3.813632,2127.672627,144.866069,10:45:00,5.74723,-2.46001,5.99351,-18.66092,16.37131,-10.62816,2.86998,0.19363,81.01583,-4.985481,1.908341,0.425996,6.68347,9.23209,2.16507,50,5.62473,-8.22321,-130.10335,-3.78735,11.29536,30.85974,-16.57142,5d403795-28ae-485b-b9f2-5fa5b59b4f71,NA,NA,NA,NA,-35.394189,812807,"Jones, Kyle",NA,NA,95.69242,Right,-4.599704,NA,NA,NA,31.17058,29.53782,0.212604,-33.63848,2.0629,2.91856,-0.15468,NA,NA,NA,NA,NA,90c2a910-b6a9-11f0-84b6-01d555e46d76,1,1,FLA_GAT,1,Top,0,Four-Seam,Undefined,GroundBall,Out,1,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,88.48079,2.91856,NA,8.84835,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:33:03,2025-10-31T22:33:03Z,2025-10-31T22:33:03Z,GroundBall,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.50301,-131.16709,15.42987,5.74543,-3.21614,-8.28571,2.45524,-8.61256,5.64768,138.837971,2.06323,114.02163,-7.83093,NA,NA,NA,NA,NA,NA,2.91864,-11.25987,-11.611510000000001,NA,NA,NA,NA,NA,NA,-0.15477,-81.02214,2.51164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2025-10-31,18:33:34,"Walsh, Alex",703633,Left,JUD,Undefined,0,0,StrikeCalled,Fastball,NA,NA,90.502,-1.723047,4.391945,2089.761077,138.191209,10:30:00,5.56673,-2.52186,6.05057,-19.62308,14.63461,-12.04796,2.33127,0.54776,82.21667,-5.438611,2.231838,0.42126,7.43355,8.37185,2.18573,50,5.42172,-9.54111,-131.00638,-4.5465,12.85181,29.01616,-17.70006,ee3b4dd7-8d7e-472b-b3c0-624b64b52423,NA,NA,NA,NA,NA,804404,"Kurland, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a3066940-b6a9-11f0-84b6-01d555e46d76,2,1,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,89.47543,NA,NA,8.28533,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:33:34,2025-10-31T22:33:34Z,2025-10-31T22:33:34Z,NA,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.44535,-131.98729,14.50808,5.5653,-3.94813,-8.85003,2.51561,-9.97557,6.42591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2025-10-31,18:33:50,"Walsh, Alex",703633,Left,JUD,Undefined,0,1,StrikeSwinging,Fastball,NA,NA,91.11363,-1.02207,4.031912,2249.992492,142.180559,10:45:00,5.66168,-2.42087,6.03401,-16.06993,17.79182,-12.89894,3.37364,0.24391,82.42722,-4.110764,1.718853,0.418819,7.77819,9.76871,2.11217,50,5.57286,-8.73339,-131.9475,-2.80291,13.60357,30.15985,-15.08921,db2ee5ea-1194-4fa0-8602-29f322dd0fe0,NA,NA,NA,NA,NA,804404,"Kurland, Cade",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ac9f61a0-b6a9-11f0-84b6-01d555e46d76,2,2,FLA_GAT,1,Top,1,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,89.99702,NA,NA,8.68641,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:33:50,2025-10-31T22:33:50Z,2025-10-31T22:33:50Z,NA,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.46131,-132.96334,15.07993,5.65871,-2.29468,-7.5446,2.41404,-9.19158,6.80179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2025-10-31,18:34:06,"Walsh, Alex",703633,Left,JUD,Undefined,0,2,InPlay,Slider,NA,NA,82.41659,-1.109569,3.649668,1871.358763,120.89404,10:00:00,5.45358,-2.53861,6.06412,-29.61195,11.8191,-17.28359,1.95683,-0.59669,74.63174,-6.667473,0.542517,0.46327,10.07071,6.86343,2.2645,50,5.35167,-6.95592,-119.41571,-3.19462,14.36148,25.65965,-22.38639,e18aa837-b9fc-4319-b4cc-b0b22234e434,NA,NA,NA,NA,-12.084576,804404,"Kurland, Cade",2829.499417,NA,97.64582,Right,31.67244,107.02941,64.96064,-25.38985,361.11085,357.61334,5.355222,-15.100962000000001,1.62674,2.02944,0.58826,NA,NA,NA,NA,NA,b612a990-b6a9-11f0-84b6-01d555e46d76,2,3,FLA_GAT,1,Top,1,Changeup,Undefined,FlyBall,Out,1,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,81.36165,92.99592,NA,7.78485,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:34:06,2025-10-31T22:34:06Z,2025-10-31T22:34:06Z,FlyBall,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.43353,-120.3646,12.82982,5.4545,-2.36677,-11.1932,2.53155,-7.487,7.18074,164.751882,1.63276,119.05914,-26.84091,6.61208,-1.0229,0.02696,0.02271,-0.00379,1.9e-4,2.02423,75.2902,-16.63081,0.26395,0.12827,-0.05168,0.0163,-0.00268,1.6e-4,0.58821,-25.51813,1.22065,0.63044,-0.31726,0.08103,-0.01254,0.00109,-4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2025-10-31,18:34:42,"Walsh, Alex",703633,Left,JUD,Undefined,0,0,BallCalled,Slider,NA,NA,74.82961,2.743031,1.247376,2009.645706,263.70106,02:45:00,5.66575,-2.30201,5.42461,-49.0964,2.41788,5.59315,4.14616,-0.6674,67.65426,-6.285631,2.241513,0.516577,-2.39406,0.92921,2.18744,50,5.87569,-2.5758,-108.34703,3.61893,-2.80916,21.20742,-31.08374,87873567-5858-4968-8f0c-b4b58821e5bb,NA,NA,NA,NA,NA,807116,"Lawson, Brendan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cbb9e010-b6a9-11f0-84b6-01d555e46d76,3,1,FLA_GAT,1,Top,2,Curveball,Undefined,Undefined,Undefined,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,72.96574,NA,NA,7.17535,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:34:42,2025-10-31T22:34:42Z,2025-10-31T22:34:42Z,NA,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,55.07075,-109.33505,10.60371,5.67336,5.06708,-15.54187,2.30439,-2.44492,-1.40458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2025-10-31,18:34:59,"Walsh, Alex",703633,Left,JUD,Undefined,1,0,FoulBallNotFieldable,Fastball,NA,NA,91.06435,-0.961497,3.571899,2259.43305,146.479063,11:00:00,5.79159,-2.09976,6.14209,-16.05048,17.88513,-11.02835,3.56371,0.28631,81.91612,-4.065386,1.588768,0.419275,6.84323,9.89914,1.83289,50,5.70994,-7.76657,-131.91037,-2.65056,11.87193,32.09188,-15.00065,9f672263-3095-45bb-bb61-214dac725ca0,NA,NA,NA,NA,-145.407283,807116,"Lawson, Brendan",4284.728716,NA,74.56579,Left,36.04917,NA,NA,NA,NA,53.14477,NA,NA,1.24108,3.56744,-0.44867,NA,NA,NA,NA,NA,d5a0d160-b6a9-11f0-84b6-01d555e46d76,3,2,FLA_GAT,1,Top,2,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,89.89902,34.80576,NA,9.14823,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:34:59,2025-10-31T22:34:59Z,2025-10-31T22:34:59Z,NA,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.35396,-132.9654,16.04594,5.78898,-2.15741,-7.50033,2.09463,-8.15687,5.93596,NA,1.24108,-72.78952,2.32904,0.65221,0.96567,-4.60407,8.99289,-8.57285,3.21703,3.56744,64.35768,-27.15852,3.24258,-0.08087,-2.11271,4.2253,-3.97952,1.47352,-0.44867,-50.19985,13.56762,-2.80459,-0.75448,4.99547,-9.714,9.18183,-3.41826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2025-10-31,18:35:26,"Walsh, Alex",703633,Left,JUD,Undefined,1,1,InPlay,Slider,NA,NA,76.61674,0.653492,2.481269,1965.277975,282.943494,03:30:00,5.61213,-2.25326,5.59189,-47.33321,1.46169,1.08535,2.27847,0.15541,69.58103,-8.04175,2.674897,0.502758,0.24035,0.96732,2.03957,50,5.63738,-4.85243,-111.04713,-0.23228,0.29581,22.55567,-30.98355,e9ed3f61-b211-4f92-8057-e9094f2dcd94,NA,NA,NA,NA,29.049337,807116,"Lawson, Brendan",3049.232645,NA,103.11021,Left,7.109287,NA,NA,NA,114.26689,113.08573,0.83669,32.416358,2.88884,2.35051,0.04725,NA,NA,NA,NA,NA,e609de20-b6a9-11f0-84b6-01d555e46d76,3,3,FLA_GAT,1,Top,2,Curveball,Undefined,LineDrive,Single,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,74.97139,5.50729,NA,7.0357,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:35:26,2025-10-31T22:35:26Z,2025-10-31T22:35:26Z,GroundBall,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.90628,-112.03925,11.27784,5.61762,1.13054,-15.49178,2.25329,-4.86544,0.1479,299.649621,2.97547,129.77971,-21.68284,NA,NA,NA,NA,NA,NA,2.45078,17.07627,-24.03995,NA,NA,NA,NA,NA,NA,-0.00306,73.70205,-0.51993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2025-10-31,18:36:02,"Walsh, Alex",703633,Left,JUD,Undefined,0,0,BallCalled,Fastball,NA,NA,90.19464,-0.061913,2.633358,1945.747327,144.431944,10:45:00,5.7564,-2.39106,6.1742,-20.39265,14.17119,-9.2267,3.99978,-0.72621,80.99764,-3.959771,0.97085,0.423138,5.5724,7.69548,2.19604,50,5.74137,-5.61275,-130.72084,-0.73865,9.47816,31.92557,-19.08471,9c598607-be81-4968-addf-17dcaa69aa96,NA,NA,NA,NA,NA,814065,"Surowiec, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fb937a80-b6a9-11f0-84b6-01d555e46d76,4,1,FLA_GAT,1,Top,2,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,89.0783,NA,NA,9.197,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:36:02,2025-10-31T22:36:02Z,2025-10-31T22:36:02Z,NA,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.31917,-131.77148,15.96279,5.75534,-0.1106,-9.54235,2.38588,-5.92467,4.73908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2025-10-31,18:36:22,"Walsh, Alex",703633,Left,JUD,Undefined,1,0,BallCalled,Slider,NA,NA,76.20758,-0.370746,3.574254,1939.186564,248.402154,02:15:00,5.59692,-2.48499,5.82304,-45.91156,2.67559,2.77595,1.42561,1.07354,69.94627,-8.79457,4.070895,0.501686,-0.3652,1.97382,2.19084,50,5.53962,-7.00112,-110.46071,-2.12327,-0.4488,20.65794,-29.74835,d3fe7619-57b9-4f1d-872d-1c5d5d597956,NA,NA,NA,NA,NA,814065,"Surowiec, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07576930-b6aa-11f0-84b6-01d555e46d76,4,2,FLA_GAT,1,Top,2,Curveball,Undefined,Undefined,Undefined,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,75.13151,NA,NA,6.2613,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:36:22,2025-10-31T22:36:22Z,2025-10-31T22:36:22Z,NA,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.67444,-111.33148,10.32897,5.60269,-0.86933,-14.87418,2.48555,-6.9822,-0.2244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2025-10-31,18:36:39,"Walsh, Alex",703633,Left,JUD,Undefined,2,0,StrikeSwinging,Fastball,NA,NA,89.82069,-1.068753,4.046061,2075.742691,142.04088,10:45:00,5.69097,-2.33307,6.44983,-18.89879,15.36643,-11.07221,3.13161,0.46769,81.42344,-4.689661,2.044955,0.421306,6.94512,8.68079,2.05043,50,5.60642,-8.75543,-130.17036,-2.94465,11.82587,29.26217,-17.39279,abd7a1de-8ee2-4698-848d-3a2178fab7f9,NA,NA,NA,NA,NA,814065,"Surowiec, Ethan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11324c90-b6aa-11f0-84b6-01d555e46d76,4,3,FLA_GAT,1,Top,2,Four-Seam,Undefined,Undefined,Undefined,0,0,NA,JUD,FLA_GAT,121Financial,TeamExclusive,Team,20251031-121Financial-Private-2,89.46561,NA,NA,8.39725,NA,NA,NA,78e623f9-aa27-4d61-8f19-ec9f4998400f,2025-10-31,22:36:39,2025-10-31T22:36:39Z,2025-10-31T22:36:39Z,NA,v3,471326,471297,NA,"Spelman, Conner",1000239666,Right,JUD,54.0458,-131.07669,14.63108,5.68928,-2.40594,-8.69639,2.32728,-9.12171,5.91293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
